LW-Ö01,Maha Cohan - Ascended Master Energy; Oil 30 ml,マハ・コハン、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö02,Lao Tse - Ascended Master Energy; Oil 30 ml,老子、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö03,El Moria - Ascended Master Energy; Oil 30 ml,エル・モリヤ、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö04,Quan Yin - Ascended Master Energy; Oil 30 ml,観音、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö05,Christ - Ascended Master Energy; Oil 30 ml,クリスト、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö06,Djwal Khul - Ascended Master Energy; Oil 30 ml,ジュワル・クール、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö07,Sanat Kumara - Ascended Master Energy; Oil 30 ml,サナト・クマーラ、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö08,Angelika - Ascended Master Energy; Oil 30 ml,アンゲリカ、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö09,Orion - Ascended Master Energy; Oil 30 ml,オリオン、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö10,Kamakura - Ascended Master Energy; Oil 30 ml,カマクラ、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö11,Kuthumi - Ascended Master Energy; Oil 30 ml,クートフーミ、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö12,Lady Nada - Ascended Master Energy; Oil 30 ml,レディー・ナダ、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö13,Serapis Bey - Ascended Master Energy; Oil 30 ml,セラピス・ベイ、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö14,Victory - Ascended Master Energy; Oil 30 ml,ビクトリー、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö15,Saint Germain - Ascended Master Energy; Oil 30 ml,サンジェルマン、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö16,Hilarion - Ascended Master Energy; Oil 30 ml,ヒラリオン、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö17,Pallas Athene - Ascended Master Energy; Oil 30 ml,パラス・アテナ、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö18,Lady Portia - Ascended Master Energy; Oil 30 ml,レディー・ポルシャ、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö19,Helion - Ascended Master Energy; Oil 30 ml,ヘリオン、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö20,Aeolus - Ascended Master Energy; Oil 30 ml,アイオルス、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-Ö21,Maria - Ascended Master Energy; Oil 30 ml,マリア、アセンデットマスターエネルギー、オイル30ml,10.5,4350,1,6,4,0
LW-K01,Maha Cohan - Ascended Master Energy; Sphere,マハ・コハン、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K02,Lao Tse - Ascended Master Energy; Sphere,老子、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K03,El Moria - Ascended Master Energy; Sphere,エル・モリヤ、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K04,Quan Yin - Ascended Master Energy; Sphere,観音、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K05,Christ - Ascended Master Energy; Sphere,クリスト、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K06,Djwal Khul - Ascended Master Energy; Sphere,ジュワル・クール、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K07,Sanat Kumara - Ascended Master Energy; Sphere,サナト・クマーラ、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K08,Angelika - Ascended Master Energy; Sphere,アンゲリカ、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K09,Orion - Ascended Master Energy; Sphere,オリオン、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K10,Kamakura - Ascended Master Energy; Sphere,カマクラ、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K11,Kuthumi - Ascended Master Energy; Sphere,クートフーミ、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K12,Lady Nada - Ascended Master Energy; Sphere,レディー・ナダ、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K13,Serapis Bey - Ascended Master Energy; Sphere,セラピス・ベイ、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K14,Victory - Ascended Master Energy; Sphere,ビクトリー、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K15,Saint Germain - Ascended Master Energy; Sphere,サンジェルマン、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K16,Hilarion - Ascended Master Energy; Sphere,ヒラリオン、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K17,Pallas Athene - Ascended Master Energy; Sphere,パラス・アテナ、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K18,Lady Portia - Ascended Master Energy; Sphere,レディー・ポルシャ、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K19,Helion - Ascended Master Energy; Sphere,ヘリオン、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K20,Aeolus - Ascended Master Energy; Sphere,アイオルス、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-K21,Maria - Ascended Master Energy; Sphere,マリア、アセンデットマスターエネルギー、スフィア,75.5,32000,1,6,4,0
LW-E25,Michael - Archangel Energy; Tincture 30 ml,ミカエル、大天使エネルギー、チンキ30ml,10.5,4350,1,6,4,0
LW-E26,Gabriel - Archangel Energy; Tincture 30 ml,ガブリエル、大天使エネルギー、チンキ30ml,10.5,4350,1,6,4,0
LW-E27,Raphael - Archangel Energy; Tincture 30 ml,ラファエル、大天使エネルギー、チンキ30ml,10.5,4350,1,6,4,0
LW-I31,Kristall - Integration Energy; Tincture 30 ml,クリスタル（水晶）、統合エッセンス、チンキ30ml,10.5,4350,1,6,4,0
LW-I32,Baum - Integration Energy; Tincture 30 ml,バウム（木）、統合エッセンス、チンキ30ml,10.5,4350,1,6,4,0
LW-I33,Sonne - Integration Energy; Tincture 30 ml,ソンネ（太陽）、統合エッセンス、チンキ30ml,10.5,4350,1,6,4,0
LW-I34,Erde - Integration Energy; Tincture 30 ml,エルデ（大地）、統合エッセンス、チンキ30ml,10.5,4350,1,6,4,0
LW-I35,Feuer - Integration Energy; Tincture 30 ml,フォイヤ（火）、統合エッセンス、チンキ30ml,10.5,4350,1,6,4,0
LW-I36,Wasser - Integration Energy; Tincture 30 ml,ワッサー（水）、統合エッセンス、チンキ30ml,10.5,4350,1,6,4,0
LW-I37,Luft - Integration Energy; Tincture 30 ml,ルフト（空気）、統合エッセンス、チンキ30ml,10.5,4350,1,6,4,0
LW-ELÖ10,Golden Ray of Elohims - Oil 10 ml,エロヒムのゴール色ド光線、オイル10ml,17.8,,1,6,4,0
LW-ELÖ01,Green Ray of Elohims - Oil 10 ml,エロヒムの緑色光線、オイル10ml,14.25,,1,6,4,0
LW-40,Relax - Special Essence; Tincture 30 ml,リラックス、特別エッセンス、チンキ30ml,10.5,,1,6,4,0
LW-RW,Beauty Elixir 30ml,美しさの秘薬30ml,10.5,,1,6,4,0
LW-RL,RaumLicht Concentrate; Tincture 30 ml,ルーム・ライト、チンキ30ml,13.5,,1,6,4,0
LW-43,Melchizedek - Special Essence; Tincture 30 ml,メルキゼデク、特別エッセンス、チンキ30ml,10.5,,1,6,4,0
LW-KE,Guardian Engel; Stuffed Toy 10 cm,保護天使、ぬいぐるみ10cm,8.6,,1,6,4,0
LW-WE,Wishing Angel; Stuffed Toy 17 cm,願い事をかなえてくれる天使、ぬいぐるみ17cm,22.8,,1,6,4,0
